longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,location_name
-119.79,36.73,52,112,28,193,40,1.975,47500,INLAND,"741 H St, Fresno, CA 93721, USA"
-122.21,37.77,43,1017,328,836,277,2.2604,100000,NEAR BAY,"4801 International Blvd, Oakland, CA 94601, USA"
-118.04,33.87,17,2358,396,1387,364,6.299,285800,<1H OCEAN,"17719 Gerritt Ave, Cerritos, CA 90703, USA"
-118.28,34.06,17,2518,1196,3051,1000,1.7199,175000,<1H OCEAN,"American Cement Building, 2404 Wilshire Blvd, Los Angeles, CA 90057, USA"
-119.81,36.73,50,772,194,606,167,2.2206,59200,INLAND,"207 E Oleander Ave, Fresno, CA 93706, USA"
-117.8,33.81,14,1206,142,572,149,8.847,388700,<1H OCEAN,"1270 N Richard St, Orange, CA 92869, USA"
-121.26,38.69,17,3917,638,1809,564,5.2586,137000,INLAND,"8031 Ruthwood Way, Orangevale, CA 95662, USA"
-121.94,37.28,18,4356,1334,1968,1245,3.6294,240000,<1H OCEAN,"36 El Paseo St, Campbell, CA 95008, USA"
-121.9,37.44,4,1646,408,853,410,5.0821,265500,<1H OCEAN,"504 Hamilton Ave, Milpitas, CA 95035, USA"
-118.15,34.05,31,3362,799,1939,754,3.5089,305800,<1H OCEAN,"1100 N Ridge Pl, Monterey Park, CA 91754, USA"
-121.33,38.64,27,2203,493,1158,492,2.4342,119500,INLAND,"5757 Cypress Ave, Carmichael, CA 95608, USA"
-115.99,33.4,15,1945,536,515,273,2.0109,54300,INLAND,"C226+22 Salton City, CA, USA"
-117.09,32.68,20,2569,737,2341,705,2.0114,104900,NEAR OCEAN,"835 Palm Ave, National City, CA 91950, USA"
-118.14,34.7,12,1984,614,1071,574,1.2532,102100,INLAND,"45007 Cedar Ave, Lancaster, CA 93534, USA"
-120.9,38.2,16,3120,641,1319,526,2.0472,93200,INLAND,"13050 Camanche Pkwy S, Burson, CA 95225, USA"
-121.51,38.5,25,4719,745,1857,739,5.0371,180200,INLAND,"6907 S Land Park Dr, Sacramento, CA 95831, USA"
-117.32,34.14,32,1691,353,1457,329,1.8438,66600,INLAND,"2600 Cajon Blvd, San Bernardino, CA 92411, USA"
-117.34,34.13,29,331,85,341,107,0.7069,70300,INLAND,"2190 Roosevelt Ave, San Bernardino, CA 92411, USA"
-118.27,34.08,38,2265,801,2899,792,2.5521,157500,<1H OCEAN,"2608 1/2 Sunset Blvd, Los Angeles, CA 90026, USA"
-120.84,38.77,11,1013,188,410,158,4.825,184600,INLAND,"Q596+X2 Placerville, CA, USA"
-120.38,36.76,12,932,244,1043,243,1.4038,54300,INLAND,"437 Lolita St, Mendota, CA 93640, USA"
-118.2,33.93,41,857,201,934,227,2.6339,145700,<1H OCEAN,"11106 Benwell Dr, Lynwood, CA 90262, USA"
-121.52,38.57,43,2360,471,1041,452,2.89,86200,INLAND,"1509 S River Rd, West Sacramento, CA 95691, USA"
-121.09,38.68,15,5218,711,1949,659,4.7083,213300,INLAND,"43 Powers Dr, El Dorado Hills, CA 95762, USA"
-117.54,33.82,6,202,29,75,28,4.125,216700,INLAND,"1765 Keith St, Corona, CA 92881, USA"
-121.33,37.98,9,2370,424,1129,386,5.143,176500,INLAND,"3944 Crawford Ct, Stockton, CA 95204, USA"
-119.29,36.53,33,1509,352,1734,336,1.625,50300,INLAND,"12833 Hazel Ave, Cutler, CA 93615, USA"
-119.83,36.8,24,3756,681,1586,739,3.8571,90100,INLAND,"4563 N Holt Ave, Fresno, CA 93705, USA"
-118.12,34.09,25,3603,1003,2719,913,2.6981,208000,<1H OCEAN,"611 S Chapel Ave, Alhambra, CA 91801, USA"
-118.31,33.67,42,1297,246,611,242,5.3074,401900,NEAR OCEAN,"MMCR+22 Rancho Palos Verdes, CA, USA"
-118.24,34.11,50,2141,451,1777,426,2.7679,178800,<1H OCEAN,"2622 W Ave 31, Glassell Park, CA 90065, USA"
-122.27,38.31,44,3030,589,1373,582,2.9054,155200,NEAR BAY,"1660 King Ave, Napa, CA 94559, USA"
-117.62,33.77,43,1911,439,930,433,4.6369,186400,<1H OCEAN,"Q99J+X2 Silverado, CA, USA"
-121.95,37.28,52,777,148,362,144,4.0208,262500,<1H OCEAN,"2345 S Winchester Blvd Suite B Suite B, Campbell, CA 95008, USA"
-117.88,33.87,21,1519,388,1203,366,3.2083,145300,<1H OCEAN,"200 S Placentia Ave, Placentia, CA 92870, USA"
-117.68,35.63,18,4334,641,1777,661,6.0653,105300,INLAND,"526 W Las Flores Ave, Ridgecrest, CA 93555, USA"
-121.92,37.3,35,1335,296,635,296,3.6053,345800,<1H OCEAN,"1431 Phantom Ave, San Jose, CA 95125, USA"
-118.85,34.21,29,2195,414,1360,401,3.4773,206700,<1H OCEAN,"1488 E Avenida De Los Arboles, Thousand Oaks, CA 91360, USA"
-122.21,37.37,34,1476,217,613,223,8.2883,500001,NEAR OCEAN,"40 Saddleback Dr, Portola Valley, CA 94028, USA"
-122.41,37.6,31,4424,834,1915,817,4.1364,412000,NEAR OCEAN,"586 Helen Dr, Millbrae, CA 94030, USA"
-121.86,37.32,13,2519,581,2094,530,4.3621,173400,<1H OCEAN,"1650 Senter Rd, San Jose, CA 95112, USA"
-118.02,33.65,38,2548,646,755,399,2.8352,408300,NEAR OCEAN,"MX2J+22 Huntington Beach, CA, USA"
-122.43,37.71,52,1508,278,1138,304,4.0234,266500,NEAR BAY,"26 Lapham Way, San Francisco, CA 94112, USA"
-118.15,33.97,33,1903,469,1882,435,2.4071,170500,<1H OCEAN,"6628 Toler Ave, Bell Gardens, CA 90201, USA"
-122.26,37.88,52,2363,604,1558,573,2.944,338900,NEAR BAY,"1546 Le Roy Ave, Berkeley, CA 94708, USA"
-117.02,32.7,22,2756,516,1849,486,4.1837,125400,NEAR OCEAN,"234 Charise Ct, Spring Valley, CA 91977, USA"
-118.26,33.94,41,1510,410,1408,389,1.65,94200,<1H OCEAN,"822 E 106th St, Los Angeles, CA 90002, USA"
-118.14,34.19,49,1678,277,737,287,3.7222,237000,INLAND,"444 E Mariposa St, Altadena, CA 91001, USA"
-121.36,38.67,5,5819,1507,3237,1356,2.2339,116600,INLAND,"5616 Hillsdale Blvd, Sacramento, CA 95842, USA"
-119.9,36.94,11,2513,408,1360,415,4.277,98500,INLAND,"35660 Ave 13 1/4, Madera, CA 93636, USA"
-121.85,38,26,3364,570,1806,566,4.2647,133400,INLAND,"3440 Via Delta de Anza Trl, Antioch, CA 94509, USA"
-120.85,37.06,31,2609,645,1796,629,1.5479,82000,INLAND,"1032 5th St, Los Banos, CA 93635, USA"
-119.81,36.71,25,1026,221,789,183,1.5625,52800,INLAND,"240 E Grove Ave, Fresno, CA 93706, USA"
-118.21,34.08,26,2574,807,3163,802,1.9495,173200,<1H OCEAN,"2922 Johnston St, Lincoln Heights, CA 90031, USA"
-121.65,39.13,11,4833,944,2336,841,2.6842,89100,INLAND,"1867 Hardial Dr, Yuba City, CA 95993, USA"
-119.74,34.44,26,4257,1031,1861,950,3.4047,294500,NEAR OCEAN,"3535 State St, Santa Barbara, CA 93105, USA"
-122.03,37.39,22,3280,933,1842,795,4.4107,232700,<1H OCEAN,"330 W Arbor Ave, Sunnyvale, CA 94085, USA"
-117.69,33.48,25,3240,481,1462,497,6.1815,288500,<1H OCEAN,"33231 Marina Vista Dr, Dana Point, CA 92629, USA"
-122.04,37.36,26,3298,460,1241,472,6.8753,403000,<1H OCEAN,"662 Princeton Dr, Sunnyvale, CA 94087, USA"
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,NEAR BAY,"224 Ada St, Oakland, CA 94618, USA"
-118.43,34.22,34,1588,360,1080,340,3.66,184600,<1H OCEAN,"13654 Cantara St, Panorama City, CA 91402, USA"
-118.27,34.02,40,561,284,662,205,0.9234,187500,<1H OCEAN,"209 E 32nd St, Los Angeles, CA 90011, USA"
-118.04,33.71,12,4014,868,1605,769,6.0102,396900,<1H OCEAN,"17352 Hampton Ln, Huntington Beach, CA 92649, USA"
-121.91,37.29,18,3597,664,1321,593,5.3077,351400,<1H OCEAN,"1660 Gaton Dr, San Jose, CA 95125, USA"
-124,40.22,16,2088,535,816,326,1.319,70700,<1H OCEAN,"6292+X2 Westlund Place, CA, USA"
-117.82,33.68,3,7105,1459,3068,1241,6.1395,358000,<1H OCEAN,"605 San Marino, Irvine, CA 92614, USA"
-123.98,40.88,41,1719,372,844,336,2.6923,84200,<1H OCEAN,"127 Acacia Dr, Blue Lake, CA 95525, USA"
-121.99,37.26,17,4034,611,1158,560,8.2069,442500,<1H OCEAN,"126 Altura Vista, Los Gatos, CA 95032, USA"
-120.6,37.36,27,2521,484,1307,456,3.0911,86900,INLAND,"760 Bellevue Rd, Atwater, CA 95301, USA"
-118.31,33.95,43,1823,358,1065,342,3.2708,131000,<1H OCEAN,"9436 S Manhattan Pl, Los Angeles, CA 90047, USA"
-118.22,33.8,33,1984,477,1764,440,3.875,165100,NEAR OCEAN,"2335 Webster Ave, Long Beach, CA 90810, USA"
-117.75,34.05,35,1293,339,1494,312,1.6645,93300,INLAND,"1077 S Garey Ave, Pomona, CA 91766, USA"
-117.25,33.21,9,1944,488,1992,453,2.066,127200,<1H OCEAN,"412 Pollyanna Terrace, Vista, CA 92083, USA"
-118.29,34.17,52,1732,305,875,311,4.325,292600,<1H OCEAN,"1046 Western Ave, Glendale, CA 91201, USA"
-122.7,38.36,11,5817,878,2538,876,4.221,227100,<1H OCEAN,"5727b Davis Cir, Rohnert Park, CA 94928, USA"
-121.49,38.58,52,2151,664,1146,603,1.4034,90300,INLAND,"909 12th St, Sacramento, CA 95814, USA"
-122.04,36.97,30,2695,424,1098,420,5.3972,362300,NEAR OCEAN,"314 Van Ness Ave, Santa Cruz, CA 95060, USA"
-122.28,37.9,52,2261,328,819,335,4.9083,346800,NEAR BAY,"500 The Alameda, Berkeley, CA 94707, USA"
-118.85,34.17,42,564,96,220,81,4.5625,318800,<1H OCEAN,"375 Conejo Ridge Ave, Thousand Oaks, CA 91361, USA"
-122.02,37.53,21,4280,673,2216,681,5.7072,242200,NEAR BAY,"6163 Robertson Ave, Newark, CA 94560, USA"
-121.47,38.61,31,1072,243,781,281,1.6563,65800,INLAND,"270 Cleveland Ave, Sacramento, CA 95833, USA"
-117.72,33.51,17,3617,597,1176,571,5.133,324000,<1H OCEAN,"35 Woodhaven Dr, Laguna Niguel, CA 92677, USA"
-117.31,34.35,9,2404,390,1074,359,5.0198,151900,INLAND,"8MXR+X2 Hesperia, CA, USA"
-121.38,38.69,35,2943,554,1460,510,2.6713,84400,INLAND,"3648 Elkhorn Blvd, North Highlands, CA 95660, USA"
-117.17,32.77,6,3856,875,1547,816,4.5481,164800,NEAR OCEAN,"7020 Friars Rd, San Diego, CA 92108, USA"
-119.12,35.39,13,1264,202,552,187,4.5903,94300,INLAND,"10621 Meacham Rd, Bakersfield, CA 93312, USA"
-117.88,33.84,31,3301,712,1532,682,3.7303,223800,<1H OCEAN,"2505e E Ward Terrace, Anaheim, CA 92806, USA"
-121.2,39.25,5,906,144,376,141,4.3523,188200,INLAND,"7R22+22 Lake Wildwood, CA, USA"
-121.26,37.97,41,2398,448,1143,444,3.0352,69800,INLAND,"2421 E Anita St, Stockton, CA 95205, USA"
-117.22,34.26,16,8020,1432,1749,540,4.9716,162500,INLAND,"593 Brentwood Dr, Lake Arrowhead, CA 92352, USA"
-122.47,37.51,15,4974,764,2222,774,6.7606,364300,NEAR OCEAN,"273 Del Monte Rd, El Granada, CA 94018, USA"
-120.84,37.53,14,3643,706,2070,697,3.1523,141800,INLAND,"3991 N Olive Ave, Turlock, CA 95382, USA"
-118.02,33.94,33,2382,404,1339,389,5.3016,192200,<1H OCEAN,"9800 Mills Ave, Whittier, CA 90604, USA"
-117.68,35.6,12,1678,241,765,281,6.0532,102800,INLAND,"463 W Dolphin Ave, Ridgecrest, CA 93555, USA"
-118.36,33.84,35,1577,279,743,274,5.7654,343000,<1H OCEAN,"4346 Emerald St, Torrance, CA 90503, USA"
-117.31,34.07,40,2936,732,2024,676,2.1139,70900,INLAND,"933 Fairway Ave, Colton, CA 92324, USA"
-124.16,40.79,52,1264,277,591,284,1.7778,76900,NEAR OCEAN,"1923 I St, Eureka, CA 95501, USA"
-122.42,38.27,25,3282,566,1244,483,4.5313,308400,NEAR BAY,"2340 Napa Rd, Sonoma, CA 95476, USA"
-117.92,33.63,39,1469,226,553,225,7.8496,490800,<1H OCEAN,"269 Knox Pl, Costa Mesa, CA 92627, USA"
-124.13,40.8,31,2152,462,1259,420,2.2478,81100,NEAR OCEAN,"1101 Marsh Rd, Eureka, CA 95501, USA"
-122.02,37.59,18,1165,333,855,319,3.6923,213200,NEAR BAY,"27 Union Square, Union City, CA 94587, USA"
-118.31,34.02,23,1703,397,1333,361,1.3187,127100,<1H OCEAN,"1736 W 37th Pl, Los Angeles, CA 90018, USA"
-120.85,37.77,20,651,157,421,151,2.0833,77300,INLAND,"300 E C St, Oakdale, CA 95361, USA"
-122.24,38.31,38,1938,301,823,285,6.1089,280800,NEAR BAY,"2069 3rd Ave, Napa, CA 94558, USA"
-121.8,37.26,26,1394,238,990,315,4.8862,195000,<1H OCEAN,"54 Calle Pintada, San Jose, CA 95111, USA"
-122.42,37.75,52,2163,607,1447,546,3.3555,275000,NEAR BAY,"1427 Valencia St, San Francisco, CA 94110, USA"
-118.29,34.03,22,3313,1235,2381,1063,0.7473,168800,<1H OCEAN,"2712 Menlo Ave, Los Angeles, CA 90007, USA"
-117.93,33.72,17,4461,585,2095,580,7.6709,319500,<1H OCEAN,"16768 Mt Eden Cir, Fountain Valley, CA 92708, USA"
-120.46,38.09,16,3758,715,1777,615,3,122600,INLAND,"3GRR+22 Vallecito, CA, USA"
-117.75,33.64,9,2499,492,1111,542,5.5342,182300,<1H OCEAN,"8100 Miramonte, Irvine, CA 92618, USA"
-117.28,34.26,18,3895,636.6,1086,375,3.3672,133600,INLAND,"7P59+XX Crestline, CA, USA"
-120.99,39.22,16,1497,275,737,243,2.8942,182500,INLAND,"13110 Madrona Leaf Ct, Grass Valley, CA 95945, USA"
-117.89,33.61,16,2413,559,656,423,6.3017,350000,<1H OCEAN,"1099 Bayside Dr, Newport Beach, CA 92660, USA"
-118.21,34.07,31,1077,300,1198,274,2.1333,160200,<1H OCEAN,"3008 Baldwin St, Lincoln Heights, CA 90031, USA"
-118.39,34.23,43,1193,299,1184,320,2.1518,161600,<1H OCEAN,"11802 Neenach St, Sun Valley, CA 91352, USA"
-121.89,37.23,20,7754,976,3094,941,8.19,361600,<1H OCEAN,"6069 Burchell Ave, San Jose, CA 95120, USA"
-117.15,32.81,34,1629,318,900,282,3.1458,178300,NEAR OCEAN,"8116 Aero Dr, San Diego, CA 92123, USA"
-118.18,33.86,43,2752,645,1674,614,3.6719,161300,<1H OCEAN,"1040 E South St, Long Beach, CA 90805, USA"
-119.46,35.13,46,2745,543,1423,482,2.1955,26900,INLAND,"303 South St, Taft, CA 93268, USA"
-121.84,37.33,26,1934,408,2059,416,3.6765,163600,<1H OCEAN,"1678 Terilyn Ave, San Jose, CA 95122, USA"
-119.82,36.81,25,3305,551,1149,500,5.0698,150900,INLAND,"1507 W Keats Ave, Fresno, CA 93711, USA"
-122.24,40.17,51,2378,584,1083,494,1.577,51900,INLAND,"225 Jackson St, Red Bluff, CA 96080, USA"
-121.31,37.98,47,3386,663,1228,619,3.0625,141500,INLAND,"Knoles Hall, Stockton, CA 95211, USA"
-117.3,34.12,34,1127,275,971,249,2.0583,64800,INLAND,"755 W Orange St, San Bernardino, CA 92410, USA"
-122.44,37.8,52,3257,735,1045,620,4.5523,500001,NEAR BAY,"2229-2231 Chestnut St, San Francisco, CA 94123, USA"
-118.42,34.18,31,2887,646,1626,637,3.6745,335500,<1H OCEAN,"13150 Aetna St, Van Nuys, CA 91401, USA"
-122.53,37.87,20,1814,282,658,253,7.9977,400000,NEAR BAY,"369 Carrera Dr, Mill Valley, CA 94941, USA"
-121.46,38.56,52,1878,393,722,381,3.3348,122800,INLAND,"3730 S St, Sacramento, CA 95816, USA"
-120.64,36.99,23,2363,449,1168,410,2.2794,75700,INLAND,"2883 Evelyn Ln, Dos Palos, CA 93620, USA"
-122.24,38.25,33,213,36,91,33,4.9167,187500,NEAR BAY,"7Q25+2X Napa, CA, USA"
-117.23,33.79,17,3318,759,2016,673,2.2969,89300,INLAND,"246 Lomita Dr, Perris, CA 92570, USA"
-117.53,33.88,22,2855,667,2453,624,3.1312,91000,INLAND,"1775 Sampson Ave, Corona, CA 92879, USA"
-117.69,34.11,16,2427,522,794,491,2.6929,119300,INLAND,"1284 Airport Dr, Upland, CA 91786, USA"
-121.62,37.61,26,1786,306,771,279,5.7239,430600,INLAND,"J95J+X2 Mendenhall Springs, CA, USA"
-118.21,34.12,41,1904,514,1666,498,3.6845,175800,<1H OCEAN,"4850 Buchanan St, Highland Park, CA 90042, USA"
-118.89,34.33,23,366,62,265,66,3.125,375000,<1H OCEAN,"84J5+2X Moorpark, CA, USA"
-118.77,34.26,26,3038,468,1825,468,5.6385,196900,<1H OCEAN,"1147 N Hudspeth Ave, Simi Valley, CA 93065, USA"
-121.22,39.11,14,1405,269,660,228,3.0804,156800,INLAND,"4Q6J+22 Beale Air Force Base, CA, USA"
-117.79,35.21,4,2,2,6,2,2.375,137500,INLAND,"6665+2X California City, CA, USA"
-118.27,34.06,33,1416,686,2013,614,1.9818,208300,<1H OCEAN,"417 S Burlington Ave, Los Angeles, CA 90057, USA"
-116.94,32.84,32,1607,253,778,262,4.5278,166300,<1H OCEAN,"8945 Paradise Park Dr, Lakeside, CA 92040, USA"
-120.04,36.96,23,2126,506,2091,491,1.3713,51800,INLAND,"1048 Podres Ln, Madera, CA 93638, USA"
-118.09,33.75,32,6239,974,2615,950,6.6188,380000,NEAR OCEAN,"918 Heron Cir, Seal Beach, CA 90740, USA"
-118.17,33.9,12,3653,993,3215,854,2.8681,114200,<1H OCEAN,"7323 1/2 Exeter St, Paramount, CA 90723, USA"
-114.62,33.62,26,18,3,5,3,0.536,275000,INLAND,"11980 S Defrain Blvd, Blythe, CA 92225, USA"
